Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,Error
3_blocks_sausage_3x3_kao.txt,0,28,12,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
3_blocks_sausage_3x3_kao.txt,0,28,13,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.959339550846875,0.725763,42156,8,0.683024,0.838123,
3_blocks_sausage_3x3_kao.txt,0,28,13,4,m4: Cancela-Petingi (Nesterov),OK,0.959339550846875,110.309461,458307,8,107.023302,118.397407,
3_blocks_sausage_3x3_kao.txt,0,28,13,3,m3: Block + Conv + Modified Facto,OK,0.959339550846859,0.971500,101496,8,0.813000,1.086000,
3_blocks_sausage_3x3_kao.txt,0,28,13,2,m2: Block + Conv + Simple Facto,OK,0.959339550849244,1.538500,1241100,8,1.413000,1.845000,
3_blocks_sausage_3x3_kao.txt,0,28,13,1,m1: Block + Pure Facto,OK,0.959339550849244,17.824000,13406934,8,15.584000,21.738000,
3_blocks_sausage_3x3_kao.txt,0,28,13,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_3x3_kao.txt,0,38,14,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.489090483797539,0.000231,16,8,0.000155,0.000275,
4_blocks_sausage_3x3_kao.txt,0,38,14,4,m4: Cancela-Petingi (Nesterov),OK,0.489090483797539,0.001306,29,8,0.000871,0.001492,
4_blocks_sausage_3x3_kao.txt,0,38,14,3,m3: Block + Conv + Modified Facto,OK,0.489090483797531,1.896500,131580,8,1.797000,2.003000,
4_blocks_sausage_3x3_kao.txt,0,38,14,2,m2: Block + Conv + Simple Facto,OK,0.489090483798791,0.597000,395498,8,0.499000,0.643000,
4_blocks_sausage_3x3_kao.txt,0,38,14,1,m1: Block + Pure Facto,OK,0.489090483798791,29.669000,23866644,8,28.723000,31.227000,
4_blocks_sausage_3x3_kao.txt,0,38,14,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_3x3_kao.txt,0,38,15,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.803143004288667,1.181038,105482,8,1.109361,1.343308,
4_blocks_sausage_3x3_kao.txt,0,38,15,4,m4: Cancela-Petingi (Nesterov),OK,0.803143004288667,0.995847,14906,8,0.888293,1.042956,
4_blocks_sausage_3x3_kao.txt,0,38,15,3,m3: Block + Conv + Modified Facto,OK,0.803143004288652,1.984000,131580,8,1.773000,2.048000,
4_blocks_sausage_3x3_kao.txt,0,38,15,2,m2: Block + Conv + Simple Facto,OK,0.803143004291625,1.360000,963902,8,1.215000,1.581000,
4_blocks_sausage_3x3_kao.txt,0,38,15,1,m1: Block + Pure Facto,OK,0.803143004291625,49.359500,34031164,8,46.739000,51.007000,
4_blocks_sausage_3x3_kao.txt,0,38,15,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_3x3_kao.txt,0,38,16,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.924565335478164,1.829452,102237,8,1.684753,1.910533,
4_blocks_sausage_3x3_kao.txt,0,38,16,4,m4: Cancela-Petingi (Nesterov),OK,0.924565335478164,334.999150,858570,8,331.849331,346.338747,
4_blocks_sausage_3x3_kao.txt,0,38,16,3,m3: Block + Conv + Modified Facto,OK,0.924565335478149,2.341500,131580,8,2.205000,2.431000,
4_blocks_sausage_3x3_kao.txt,0,38,16,2,m2: Block + Conv + Simple Facto,OK,0.924565335482338,3.278500,1606956,8,2.966000,3.352000,
4_blocks_sausage_3x3_kao.txt,0,38,16,1,m1: Block + Pure Facto,OK,0.924565335482338,94.277000,47185366,8,90.563000,98.424000,
4_blocks_sausage_3x3_kao.txt,0,38,16,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_3x3_kao.txt,0,38,17,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.953107508635242,1.987566,77756,8,1.834190,2.054048,
4_blocks_sausage_3x3_kao.txt,0,38,17,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
4_blocks_sausage_3x3_kao.txt,0,38,17,3,m3: Block + Conv + Modified Facto,OK,0.953107508635227,2.988500,131580,8,2.413000,3.444000,
4_blocks_sausage_3x3_kao.txt,0,38,17,2,m2: Block + Conv + Simple Facto,OK,0.953107508639971,4.076000,2256122,8,3.749000,5.051000,
4_blocks_sausage_3x3_kao.txt,0,38,17,1,m1: Block + Pure Facto,OK,0.953107508639971,121.825500,63907616,8,117.483000,134.260000,
4_blocks_sausage_3x3_kao.txt,0,38,17,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_s3_kao.txt,0,28,11,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.762593059732335,0.000290,22,8,0.000263,0.000308,
4_blocks_sausage_s3_kao.txt,0,28,11,4,m4: Cancela-Petingi (Nesterov),OK,0.762593059732335,0.008671,204,8,0.003887,0.034008,
4_blocks_sausage_s3_kao.txt,0,28,11,3,m3: Block + Conv + Modified Facto,OK,0.762593059732265,0.148000,47120,8,0.136000,0.177000,
4_blocks_sausage_s3_kao.txt,0,28,11,2,m2: Block + Conv + Simple Facto,OK,0.762593059732265,0.099000,34446,8,0.070000,0.104000,
4_blocks_sausage_s3_kao.txt,0,28,11,1,m1: Block + Pure Facto,OK,0.762593059732265,1.762000,749602,8,1.472000,2.506000,
4_blocks_sausage_s3_kao.txt,0,28,11,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_s3_kao.txt,0,28,12,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.941607316459213,0.140959,7724,8,0.096173,0.165734,
4_blocks_sausage_s3_kao.txt,0,28,12,4,m4: Cancela-Petingi (Nesterov),OK,0.941607316459213,10.358965,70664,8,8.794337,16.783697,
4_blocks_sausage_s3_kao.txt,0,28,12,3,m3: Block + Conv + Modified Facto,OK,0.941607316459132,0.154000,47120,8,0.116000,0.213000,
4_blocks_sausage_s3_kao.txt,0,28,12,2,m2: Block + Conv + Simple Facto,OK,0.941607316459098,0.229000,75842,8,0.186000,0.263000,
4_blocks_sausage_s3_kao.txt,0,28,12,1,m1: Block + Pure Facto,OK,0.941607316459098,2.836000,1084526,8,2.563000,4.084000,
4_blocks_sausage_s3_kao.txt,0,28,12,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_s3_kao.txt,0,28,13,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.981595123021451,0.195456,9042,8,0.150436,0.292589,
4_blocks_sausage_s3_kao.txt,0,28,13,4,m4: Cancela-Petingi (Nesterov),OK,0.981595123021451,1030.324701,1068982,8,767.229406,1413.479426,
4_blocks_sausage_s3_kao.txt,0,28,13,3,m3: Block + Conv + Modified Facto,OK,0.981595123021368,0.189000,47120,8,0.129000,0.246000,
4_blocks_sausage_s3_kao.txt,0,28,13,2,m2: Block + Conv + Simple Facto,OK,0.981595123021313,0.365500,122442,8,0.288000,0.518000,
4_blocks_sausage_s3_kao.txt,0,28,13,1,m1: Block + Pure Facto,OK,0.981595123021313,4.867000,1544696,8,3.126000,5.927000,
4_blocks_sausage_s3_kao.txt,0,28,13,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
4_blocks_sausage_s3_kao.txt,0,28,14,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.984783240063002,0.249132,8379,8,0.152548,0.337533,
4_blocks_sausage_s3_kao.txt,0,28,14,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
4_blocks_sausage_s3_kao.txt,0,28,14,3,m3: Block + Conv + Modified Facto,OK,0.984783240062918,0.228500,47120,8,0.133000,0.312000,
4_blocks_sausage_s3_kao.txt,0,28,14,2,m2: Block + Conv + Simple Facto,OK,0.984783240062858,0.612000,169492,8,0.377000,0.804000,
4_blocks_sausage_s3_kao.txt,0,28,14,1,m1: Block + Pure Facto,OK,0.984783240062858,7.796000,2144524,8,4.939000,9.785000,
4_blocks_sausage_s3_kao.txt,0,28,14,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,18,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.469198149901272,0.000387,23,8,0.000345,0.000641,
5_blocks_sausage_3x3_kao.txt,0,48,18,4,m4: Cancela-Petingi (Nesterov),OK,0.469198149901272,0.053421,204,8,0.021510,0.083649,
5_blocks_sausage_3x3_kao.txt,0,48,18,3,m3: Block + Conv + Modified Facto,OK,0.469198149901265,7.283500,161664,8,4.588000,10.062000,
5_blocks_sausage_3x3_kao.txt,0,48,18,2,m2: Block + Conv + Simple Facto,OK,0.469198149903078,2.043000,576849,8,1.332000,2.949000,
5_blocks_sausage_3x3_kao.txt,0,48,18,1,m1: Block + Pure Facto,OK,0.469198149903078,231.558500,94643144,4,209.057000,249.114000,
5_blocks_sausage_3x3_kao.txt,0,48,18,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,19,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.786490614460003,4.604724,158147,8,3.377903,6.098129,
5_blocks_sausage_3x3_kao.txt,0,48,19,4,m4: Cancela-Petingi (Nesterov),OK,0.786490614460003,315.546686,563967,8,222.719261,422.315778,
5_blocks_sausage_3x3_kao.txt,0,48,19,3,m3: Block + Conv + Modified Facto,OK,0.786490614459989,7.768500,161664,8,5.476000,10.278000,
5_blocks_sausage_3x3_kao.txt,0,48,19,2,m2: Block + Conv + Simple Facto,OK,0.786490614464331,5.158000,1403356,8,3.925000,7.369000,
5_blocks_sausage_3x3_kao.txt,0,48,19,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,19,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,20,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.914528148192714,6.957686,149712,8,4.595231,8.992682,
